experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	TFG	5933	1	D05	RNF4	100070216	3AT	1	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	TFG	5933	1	E05	empty_AD	0	3AT	1	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	CBS	359	1	F05	UBE2I	4616	3AT	1	2	NULL	420
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	CBS	359	1	G05	empty_AD	0	3AT	1	0	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	CBS	359	2	H05	UBE2I	4616	3AT	1	2	NULL	1086
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	CBS	359	2	A06	empty_AD	0	3AT	1	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	BAG3	5066	1	B06	SHISA6	100015467	3AT	1	4	NULL	3584
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	BAG3	5066	1	C06	empty_AD	0	3AT	1	3	NULL	1355
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	GRN	2448	1	D06	LCE3E	56828	3AT	1	3	NULL	6978
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	GRN	2448	1	E06	empty_AD	0	3AT	1	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	STXBP1	7652	2	F06	SYTL4	199	3AT	1	3	NULL	6654
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	STXBP1	7652	2	G06	empty_AD	0	3AT	1	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	STXBP1	7652	1	H06	SYTL4	199	3AT	1	3	NULL	4982
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	STXBP1	7652	1	A07	empty_AD	0	3AT	1	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	HLCS	10884	1	B07	ANKRD29	1736	3AT	1	3	NULL	5593
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	HLCS	10884	1	C07	empty_AD	0	3AT	1	0	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	3	D07	MBD3L1	71963	3AT	1	4	NULL	6470
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	3	E07	AES	53886	3AT	1	3	NULL	1624
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	3	F07	SYF2	3064	3AT	1	3	NULL	4418
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	3	G07	CCDC74B	14408	3AT	1	3	NULL	5251
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	3	H07	empty_AD	0	3AT	1	3	NULL	2178
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	2	A08	MBD3L1	71963	3AT	1	4	NULL	6957
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	2	B08	AES	53886	3AT	1	1	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	2	C08	SYF2	3064	3AT	1	3	NULL	2350
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	2	D08	CCDC74B	14408	3AT	1	3	NULL	6719
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	2	E08	empty_AD	0	3AT	1	0	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	1	F08	MBD3L1	71963	3AT	1	4	NULL	6570
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	1	G08	AES	53886	3AT	1	3	NULL	3172
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	1	H08	SYF2	3064	3AT	1	3	NULL	3166
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	1	A09	CCDC74B	14408	3AT	1	4	NULL	5385
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	MLH1	2713	1	B09	empty_AD	0	3AT	1	4	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	ITGB2	4765	1	C09	LHFPL5	2012	3AT	1	1	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	K_DB	D_AD	ITGB2	4765	1	D09	empty_AD	0	3AT	1	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	JAGN1	12527	1	A01	PSCA	13502	3AT	2	4	NULL	54109
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	JAGN1	12527	1	B01	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EBP	2416	1	C01	TMEM14B	14338	3AT	2	3	NULL	47062
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EBP	2416	1	D01	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	E01	CERS4	6602	3AT	2	4	NULL	43026
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	F01	ANKS6	12228	3AT	2	3	NULL	21833
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	G01	CASC4	12141	3AT	2	4	NULL	28739
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	H01	GORAB	12303	3AT	2	1	NULL	510
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	A02	KCNJ18	100080594	3AT	2	3	NULL	28188
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	B02	INCA1	56442	3AT	2	1	NULL	646
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	C02	TCF23	70759	3AT	2	1	NULL	12560
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	D02	LIME1	487	3AT	2	3	NULL	27711
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	E02	ERMAP	52699	3AT	2	3	NULL	5562
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	F02	CXorf66	70565	3AT	2	4	NULL	26287
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	G02	SOWAHB	70750	3AT	2	3	NULL	16570
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	H02	FAM209A	70989	3AT	2	3	NULL	14821
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	A03	KCNN3	13559	3AT	2	4	NULL	19533
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	B03	ANK1	13235	3AT	2	4	NULL	25964
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	C03	C7orf45	1617	3AT	2	3	NULL	21002
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	D03	ZNF774	14269	3AT	2	3	NULL	23616
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	EMD	3535	1	E03	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	NMNAT1	7675	1	F03	NMNAT1	7675	3AT	2	4	NULL	31296
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	NMNAT1	7675	1	G03	empty_AD	0	3AT	2	0	NULL	7020
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	POLR1C	5431	1	H03	LRIF1	333	3AT	2	3	NULL	15645
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	POLR1C	5431	1	A04	POLR1D	2739	3AT	2	4	NULL	20262
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	POLR1C	5431	1	B04	XPA	7662	3AT	2	3	NULL	7963
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	POLR1C	5431	1	C04	RBM48	71288	3AT	2	3	NULL	10857
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	POLR1C	5431	1	D04	ZIM2	71894	3AT	2	1	NULL	2
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	POLR1C	5431	1	E04	STMN3	6710	3AT	2	3	NULL	21585
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	POLR1C	5431	1	F04	NME4	4351	3AT	2	3	NULL	29020
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	POLR1C	5431	1	G04	TNNI1	6326	3AT	2	3	NULL	19420
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	POLR1C	5431	1	H04	WASH3P	11452	3AT	2	3	NULL	13886
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	POLR1C	5431	1	A05	empty_AD	0	3AT	2	0	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	RP2	11374	1	B05	OSTF1	5498	3AT	2	3	NULL	20106
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	RP2	11374	1	C05	empty_AD	0	3AT	2	0	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	TFG	5933	1	D05	RNF4	100070216	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	TFG	5933	1	E05	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	CBS	359	1	F05	UBE2I	4616	3AT	2	2	NULL	3618
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	CBS	359	1	G05	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	CBS	359	2	H05	UBE2I	4616	3AT	2	2	NULL	1004
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	CBS	359	2	A06	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	BAG3	5066	1	B06	SHISA6	100015467	3AT	2	3	NULL	264
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	BAG3	5066	1	C06	empty_AD	0	3AT	2	3	NULL	5
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	GRN	2448	1	D06	LCE3E	56828	3AT	2	2	NULL	1538
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	GRN	2448	1	E06	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	STXBP1	7652	2	F06	SYTL4	199	3AT	2	3	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	STXBP1	7652	2	G06	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	STXBP1	7652	1	H06	SYTL4	199	3AT	2	3	NULL	906
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	STXBP1	7652	1	A07	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	HLCS	10884	1	B07	ANKRD29	1736	3AT	2	3	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	HLCS	10884	1	C07	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	3	D07	MBD3L1	71963	3AT	2	3	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	3	E07	AES	53886	3AT	2	3	NULL	1438
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	3	F07	SYF2	3064	3AT	2	3	NULL	207
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	3	G07	CCDC74B	14408	3AT	2	3	NULL	1526
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	3	H07	empty_AD	0	3AT	2	3	NULL	5117
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	2	A08	MBD3L1	71963	3AT	2	3	NULL	310
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	2	B08	AES	53886	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	2	C08	SYF2	3064	3AT	2	3	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	2	D08	CCDC74B	14408	3AT	2	3	NULL	1
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	2	E08	empty_AD	0	3AT	2	0	NULL	2
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	1	F08	MBD3L1	71963	3AT	2	3	NULL	5366
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	1	G08	AES	53886	3AT	2	1	NULL	1472
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	1	H08	SYF2	3064	3AT	2	3	NULL	19
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	1	A09	CCDC74B	14408	3AT	2	3	NULL	7397
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	MLH1	2713	1	B09	empty_AD	0	3AT	2	0	NULL	37
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	ITGB2	4765	1	C09	LHFPL5	2012	3AT	2	1	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	N_DB	O_AD	ITGB2	4765	1	D09	empty_AD	0	3AT	2	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	JAGN1	12527	1	A01	PSCA	13502	3AT	3	4	NULL	38900
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	JAGN1	12527	1	B01	empty_AD	0	3AT	3	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	EBP	2416	1	C01	TMEM14B	14338	3AT	3	3	NULL	32468
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	EBP	2416	1	D01	empty_AD	0	3AT	3	0	NULL	0
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	EMD	3535	1	E01	CERS4	6602	3AT	3	4	NULL	15057
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	EMD	3535	1	F01	ANKS6	12228	3AT	3	3	NULL	5972
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	EMD	3535	1	G01	CASC4	12141	3AT	3	4	NULL	16015
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	EMD	3535	1	H01	GORAB	12303	3AT	3	1	NULL	3845
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	EMD	3535	1	A02	KCNJ18	100080594	3AT	3	3	NULL	19321
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	EMD	3535	1	B02	INCA1	56442	3AT	3	2	NULL	16769
HsVcPPIP01a6	YKCVCY	YKCVCY_3_HsVcPPIP01a6_1	D_DB	P_AD	EMD	3535	1	C02	TCF23	70759	3AT	3	1	NULL	10402
