experiment	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	db_aa_score	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	F03	FATE1	1868	3AT	1	0	4	47555	42052
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	B03	GRAMD2A	100064217	3AT	1	0	4	49960	43766
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	A03	HSF2BP	100070143	3AT	1	0	4	51169	44020
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	B02	LUZP4	56463	3AT	1	0	1	2120	1940
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	D03	MEOX1	13795	3AT	1	0	1	71	49
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	C03	MEOX2	824	3AT	1	0	1	4618	4127
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	E02	REL	53942	3AT	1	0	4	45830	39954
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	C02	STX1A	12260	3AT	1	0	4	46531	40889
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	F02	TRAF3IP3	54647	3AT	1	0	4	22166	19554
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	H02	ZNF398	10556	3AT	1	0	4	72925	63070
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	EMD	3535	1	G03	empty-AD	0	3AT	1	0	0	109	49
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	EZH2	143	2	D03	EED	14891	3AT	1	0	2	12337	9258
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	EZH2	143	1	B03	EED	14891	3AT	1	0	3	39714	30028
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	EZH2	143	1	C03	empty-AD	0	3AT	1	0	0	30	0
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	EZH2	143	2	E03	empty-AD	0	3AT	1	0	1	26647	19521
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	H01	AGTRAP	7845	3AT	1	0	2	50838	41885
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	D02	AP1B1	100000476	3AT	1	0	2	59033	48011
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	C02	APPL1	1919	3AT	1	0	2	48122	39403
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	E02	BACH2	100066339	3AT	1	0	1	42216	35410
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	B01	BANP	6534	3AT	1	0	2	53109	42940
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	G02	CMTM5	869	3AT	1	0	2	35879	29509
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	G01	CYSRT1	13662	3AT	1	0	1	3086	2423
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	E01	DPH2	727	3AT	1	0	1	2104	1661
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	F02	DVL3	9635	3AT	1	0	1	15663	12982
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	A02	FHL5	1853	3AT	1	0	1	21546	17877
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	B02	KRT40	54668	3AT	1	0	2	61771	51243
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	H02	KRTAP10-8	56717	3AT	1	0	1	2197	1593
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	F01	RCBTB2	8487	3AT	1	0	2	39445	32938
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	C01	RIMBP3C	2332	3AT	1	0	2	39402	31665
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	D01	TRIP6	3907	3AT	1	0	0	22	2
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	FARS2	12653	1	A03	empty-AD	0	3AT	1	0	0	72	3
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	FBP1	2654	1	G04	FBP1	2654	3AT	1	3	4	36057	31913
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	FBP1	2654	1	H04	FBP2	53836	3AT	1	3	4	37210	32980
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	FBP1	2654	1	A05	empty-AD	0	3AT	1	3	1	25918	137
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	GATA2	7035	1	E04	CYSRT1	13662	3AT	1	3	4	6861	5
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	GATA2	7035	1	F04	empty-AD	0	3AT	1	3	4	8370	7
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	3	A11	DES	12573	3AT	1	0	4	34664	29634
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	2	G11	DES	12573	3AT	1	0	3	41509	35635
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	1	E12	DES	12573	3AT	1	0	3	30992	26557
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	1	B12	HOMEZ	54692	3AT	1	0	3	33181	28382
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	3	F10	HOMEZ	54692	3AT	1	0	3	31627	27283
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	2	D11	HOMEZ	54692	3AT	1	0	3	32484	28252
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	2	H11	KRT15	4105	3AT	1	0	3	27753	23891
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	3	B11	KRT15	4105	3AT	1	0	3	42985	36762
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	1	F12	KRT15	4105	3AT	1	0	3	24890	21456
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	2	F11	TFIP11	5894	3AT	1	0	3	19188	16738
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	3	H10	TFIP11	5894	3AT	1	0	3	26598	23193
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	1	D12	TFIP11	5894	3AT	1	0	3	29451	25625
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	1	C12	VIM	69	3AT	1	0	4	36208	30981
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	2	E11	VIM	69	3AT	1	0	4	37204	31997
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	3	G10	VIM	69	3AT	1	0	4	39289	33942
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	GFAP	2920	1	A01	empty-AD	0	3AT	1	0	0	456	0
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	2	A12	empty-AD	0	3AT	1	0	0	122	0
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	GFAP	2920	3	C11	empty-AD	0	3AT	1	0	0	19	1
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	GRN	2448	1	G10	CYSRT1	13662	3AT	1	0	3	19441	15369
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	GRN	2448	1	E10	HOXA1	10057	3AT	1	0	4	15230	12050
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	GRN	2448	1	F10	LCE1D	100064144	3AT	1	0	2	6648	5244
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	GRN	2448	1	B11	MEOX2	824	3AT	1	0	4	24806	17740
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	GRN	2448	1	A11	NUFIP2	56924	3AT	1	0	3	24778	16377
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	GRN	2448	1	H10	OTX1	5285	3AT	1	0	4	11140	8816
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	GRN	2448	1	C11	empty-AD	0	3AT	1	0	0	1181	2
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	HSPB8	4066	1	E01	BAG3	5066	3AT	1	4	4	41180	36262
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	HSPB8	4066	1	F01	empty-AD	0	3AT	1	4	4	37691	33929
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	ITGB2	4765	1	C08	APOL2	4309	3AT	1	0	1	5711	214
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	ITGB2	4765	1	D08	NOTCH2NL	55237	3AT	1	0	0	161	0
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	ITGB2	4765	1	E08	empty-AD	0	3AT	1	0	0	129	0
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	JAGN1	12527	1	B01	CCDC155	9267	3AT	1	0	3	36361	32375
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	JAGN1	12527	1	A01	KCNA1	71807	3AT	1	0	3	18719	16298
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	JAGN1	12527	1	C01	MFF	956	3AT	1	0	1	20878	19054
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	JAGN1	12527	1	D01	empty-AD	0	3AT	1	0	0	31	0
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	KRT6B	8105	1	E08	KIFC3	11229	3AT	1	0	4	36166	29087
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	KRT6B	8105	1	G08	KRT25	100014440	3AT	1	0	3	40533	32193
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	KRT6B	8105	1	H08	KRT27	100066360	3AT	1	0	4	34936	27363
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	KRT6B	8105	1	B08	KRT31	56141	3AT	1	0	3	33666	26697
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	KRT6B	8105	1	F08	KRT35	100014396	3AT	1	0	3	40641	30702
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	KRT6B	8105	1	H07	KRT38	56827	3AT	1	0	2	43536	34396
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	KRT6B	8105	1	D08	KRT40	54668	3AT	1	0	3	44663	35076
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	KRT6B	8105	1	A08	TFIP11	5894	3AT	1	0	2	46493	36567
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	KRT6B	8105	1	C08	TRIM54	55664	3AT	1	0	1	29064	23333
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	KRT6B	8105	1	A09	empty-AD	0	3AT	1	0	0	860	6
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	LIG4	1884	1	H08	XRCC4	7515	3AT	1	4	3	39800	16442
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	LIG4	1884	1	A09	empty-AD	0	3AT	1	4	3	41406	12
