orf_id	symbol_dacc
3414	GALK1
3419	EXT1
3422	NECTIN2
3434	LDOC1
3438	TMEM43
3441	RPS19
3449	GMPPB
3468	NDUFAF1
3479	TTLL12
3483	GYG1
3484	CALM3
3490	ATF5
3504	RBPMS
3522	NCK2
3523	RUSC1
3525	FUCA2
3533	CERT1
3535	EMD
3543	TGFBI
3562	PDLIM7
3564	NEU1
3567	NEK6
3568	FANCG
3581	MCOLN1
3594	SYNGR1
3598	DAZAP2
3601	PTDSS1
3608	CYB561
3632	NSG1
3643	EIF2B4
3648	SATB1
3650	PIMREG
3668	SQSTM1
3670	DUSP23
3672	WWOX
3689	GCK
3693	TUFM
3694	PNRC2
3697	NF2
3699	ZNF24
3701	CDK5
3721	WDR5
3722	RPA2
3727	NCF2
3731	PRPS1
3732	UROD
3739	SYK
3753	C1orf50
3754	USP2
3755	PPIL1
3756	VAPB
3759	ZNF426
3760	BAP1
3761	ID3
3768	TCL1A
3769	HGS
3772	RFC5
3782	SMAD1
3787	CSNK1D
3798	ACTN1
3799	TRAFD1
3804	B9D2
3818	PSMC5
3823	ISY1
3824	CKMT1A
3825	TUBB
3833	HSPD1
3836	VAPA
3837	PEX16
3844	ACY1
3872	KEL
3878	TRIM32
3882	SQSTM1
3901	MUTYH
3903	LMNA
3904	MALL
3907	TRIP6
3912	TGFBI
3928	CCM2
3931	BBLN
3933	CDKN2D
3952	SGTA
3958	TSPAN4
3970	HMOX2
3975	HNRNPA1
3980	GRN
3983	MGST3
3990	PSMD2
4004	FADD
4010	UBOX5
4019	CDK4
4020	CHEK2
4040	SAR1A
4043	COQ8A
4046	RLBP1
4058	ZSCAN5A
4062	PLP1
4066	HSPB8
4071	PPP2CA
4085	PPP1CB
4099	TNNT2
4105	KRT15
4126	STAT1
4137	VAMP2
4146	NELFA
4166	NCF1
4167	TMEM243
4173	C1orf35
4177	SOX10
4184	TMEM11
4190	ALG3
4193	CBR3
4218	ZC2HC1C
4236	FIS1
4239	IGFBP6
4249	SF3B4
4252	PSAP
4255	TFPT
4289	MSH6
4302	FAM214B
4309	APOL2
4315	CYB5B
4320	ZC4H2
4350	SNAPIN
4351	NME4
4361	MAGEA11
4373	HOXD3
4381	UBIAD1
4384	MAX
4396	YJU2B
4406	PIN1
4407	ELOA
4414	GSTA2
4418	RPRM
4434	SLC52A2
4443	ASNS
4447	STAC3
4452	SF1
4453	HRAS
4461	CLDN6
4465	RUNDC3A
4480	SH3GLB1
4481	B4GALT7
4482	NMB
4484	EXO1
4499	MAPRE2
4506	APOD
4515	PNPO
4516	GMCL1
4519	GMPPA
4538	MIIP
4546	ZYX
4552	TMEM167B
4562	NIF3L1
4568	CWF19L1
4569	LZTS2
4573	RBM10
4576	BCL2L13
4605	KPNA1
4616	UBE2I
4621	KXD1
4622	TNFAIP1
4623	KLHL12
4625	BCKDHA
4635	RBMX
4636	TARBP2
4662	CIRBP
4664	TRIP13
4671	SNRPA
4676	SERPINF1
4683	PDHA1
4687	SMAD4
4692	LDHB
4695	SMUG1
4696	RTL8C
4706	HNRNPK
4717	CEP55
4723	TPM1
4725	RPL9
4727	KRTAP4-12
4755	RNF8
4757	RABAC1
4759	VPS37B
4761	AP2B1
4765	ITGB2
4784	HARS2
4785	STAMBP
4786	NTAQ1
4798	ENKD1
4812	GYS1
4815	CSNK1E
4828	CDC45
4829	KHK
4830	SUV39H1
4832	SPG7
4836	RHBDD2
4841	HSD17B14
4842	SYNJ2BP
4851	POT1
4854	ERCC3
4857	NR1H3
4860	BRMS1L
4862	SLC30A2
4870	KRT6A
4872	EYA2
4887	CSNK2A2
4910	AMPD2
4920	CKS1B
4929	MSC
4935	SLC18A1
4938	CHRNA1
4946	PTPRN
4948	EXTL3
4955	HSPB7
4960	PCBD1
4973	GORASP2
4976	TRIM14
4978	ZNF346
4981	CLN8
4982	ABI3
4983	AP2S1
5002	PHF1
5003	CLPB
5046	NQO2
5052	MMACHC
5053	SEC23B
5065	C2orf88
5066	BAG3
5074	TINF2
5081	HERPUD2
5082	ACTN4
5093	TMEM79
5132	GSS
5143	MDFI
5147	SDHB
5163	HES6
5175	PPP1R16A
5219	STUB1
5221	NGLY1
5229	ANXA11
5231	LASP1
5285	OTX1
5307	NUBP2
5313	ERCC2
5335	PMM2
5345	IGF2
5348	AKT1
5358	PFKM
5359	FHL3
5375	TUBB3
5385	WRAP53
5398	SHMT1
5400	INTS11
5424	BLK
5431	POLR1C
5437	EXOSC3
5439	CARD9
5441	PUF60
5442	SIX1
5453	PIGP
5462	NRAS
5491	HSPB11
5498	OSTF1
5499	MRPS18B
5523	FXYD3
5539	ZMYM5
5585	CRYAB
5590	TDO2
5591	GMNN
5593	CXCL5
5597	IFNGR1
5607	PSMC6
5613	APOA1
5619	TIMM8A
5628	INS
5629	ZNF670
5633	NME7
5645	GYPA
5651	MYOZ2
5658	VAMP3
5673	PLN
5681	CSRP3
5702	SMARCE1
5712	TPM3
5716	CCNL1
5718	NPPA
5723	SFTPC
5737	FTL
5738	CNOT9
5772	BANF1
5793	MS4A3
5801	USE1
5807	CAP2
5808	HBB
5810	RHOA
5817	ESS2
5818	SOX2
5823	GRB7
5832	FXYD6
5839	TUBA4A
5848	HEXB
5852	LRSAM1
5854	SORD
5861	PPP2R1A
5864	CDKN2A
5865	GAMT
5875	HADHA
5880	PAPSS2
5894	TFIP11
5896	AHCY
5901	HAND1
5904	PRKRA
5910	DBH
5912	HYPK
5916	GTPBP3
5923	ITGB3BP
5926	HMOX1
5931	ICAM1
5933	TFG
5935	RAC2
5942	MSI2
5949	ZNF202
5951	PYCR1
5965	FHL2
5970	TRIB3
5989	BCL2L1
5991	ATP5F1A
6007	CD151
6014	ASS1
6018	ASNS
6027	GNAI2
6046	TRIP10
6059	SMIM19
6064	GLI1
6077	PAX8
6080	KARS1
6096	MPV17
6112	ZNF526
6119	SUFU
6129	CAPN1
6137	PITX1
6138	TACSTD2
6151	HIF1A
6157	OPTN
6171	BAIAP2L1
6173	CTCF
6179	ZNF71
6192	BTC
6195	TCEA2
6197	CCND3
6203	HOOK1
6211	BAAT
6225	UBE2J1
6231	SDC3
6232	SEMA3B
6236	CSRNP2
6254	DACH1
6269	TMEM174
6281	KCNJ15
6288	DCPS
6292	NUP54
6309	GSTP1
6319	WASHC3
6324	PPP1R3C
6325	ORMDL2
6326	TNNI1
6329	CFL2
6336	MYL2
6337	SCAMP1
6339	SULT1B1
6341	HBG2
6345	TCAP
6356	TCAP
6359	CCND2
6363	SDHD
6395	IRAK4
6406	LDB3
6408	IER3IP1
6430	TNNT1
6446	ERGIC3
6448	COIL
6464	TMEM203
6488	RAC3
6490	PIAS2
6512	UBE3A
6520	IFT43
6534	BANP
6552	MAGEA8
6559	ARHGEF5
6562	MESD
6598	CDCA5
6602	CERS4
6604	ATP23
6625	SPATA2
6631	RBM12
6632	COG4
6644	BSCL2
6653	PELI2
6666	MAP2K2
6699	CSNK2A1
6704	GABARAPL1
6710	STMN3
6714	KCTD15
6722	SMARCD1
6724	KLHDC7B
6725	CBX8
6733	BLMH
6734	FLI1
6754	PDCD10
6756	RAB6B
6759	RPS27A
6770	SEC22B
6786	DKC1
6791	DBNL
6792	SCYL1
6802	KRT33B
6806	PLOD3
6808	FKBP8
6811	MAD1L1
6813	ZBTB5
6819	CDC42EP1
6839	ATP13A1
6853	MBD4
6860	EEF2KMT
6866	MDK
6869	LHX4
6876	GADD45A
6877	TTC19
6892	EXT2
6901	MCRS1
6916	TNFRSF1A
6932	RCN1
6935	TRAPPC2B
6947	TPM2
6953	PLEKHF2
6959	ATP6V0C
6961	GIMAP5
6963	PLSCR3
6965	CDCA4
6970	PSEN1
6983	PITX2
6985	CCDC174
7011	CEP63
7021	PLEKHB2
7035	GATA2
7038	DIABLO
7045	TNIP1
7047	ETFDH
7048	MMAB
7058	RAD23A
7081	SERTAD3
7084	COQ4
7106	SYNGR3
7110	JUP
7122	ASB13
7128	ARC
7142	RIN1
7147	EFEMP1
7150	NFE2L2
7154	SLC22A5
7167	AIPL1
7171	MRPL53
7177	ACTB
7187	MAPRE3
7198	RXRG
7201	RAD51D
7215	NR0B1
7226	TIMMDC1
7233	STX5
7245	DLX3
7251	OCA2
7254	MFSD2A
7255	SYAP1
7270	PQBP1
7273	LAT
7280	CLDN14
7297	RBFA
7305	AP4B1
7320	ARSA
7323	PMP22
7356	LAPTM4B
7357	LPXN
7366	ADPRS
7389	CTRC
7404	PIH1D2
7408	TM4SF18
7419	UPRT
7424	PYROXD1
7439	ABI2
7450	NCBP1
7463	PHKG2
7465	GATA2
7473	GSTZ1
7474	CDIPT
7487	HHEX
7511	C4orf3
7515	XRCC4
7547	BNIP3
7561	PGRMC2
7584	YARS2
7586	BAIAP2L2
7587	NR3C1
7591	MAPK1IP1L
7595	SLC37A4
7606	BIRC7
7617	CREB3L1
7626	ARMC5
7630	FASLG
7634	CSNK1D
7637	CFP
7646	LENG1
7651	IL2RG
7652	STXBP1
7662	XPA
7664	SEC11A
7675	NMNAT1
7682	CDR2
7696	USH1C
7699	FANCC
7727	STAT3
7728	MPG
7756	ANKRD1
7781	EIF3M
7792	TRIM29
7804	CAMK2B
7813	ASGR2
7826	FUCA1
7828	PORCN
7845	AGTRAP
7866	EFHC1
7867	CSF1
7875	MFSD14B
7876	PTPMT1
7877	GPSM3
7881	TRIM41
7907	C1QTNF1
7912	CALN1
7917	ZBTB26
7918	MSH2
7923	FAH
7935	MSTO1
7938	GCDH
7953	MMP2
7954	BEGAIN
7965	VPS35
7966	QDPR
7972	IFT27
7982	HPRT1
8000	DARS1
8013	STX4
8017	SLC39A7
8024	DNAJB6
8028	DDX17
8047	GJB4
8054	NUP93
8057	ZMAT4
8058	POLDIP3
8070	KIF2A
8101	ERLIN1
8103	PRR22
8105	KRT6B
8114	DZIP1L
8131	VAMP1
8141	LNX1
8143	SH3BP2
8151	IL36RN
8165	HAS3
8168	QKI
8177	SNIP1
8186	CLEC2D
8190	UBTD2
8208	RB1
8213	PGM1
8227	TMEM86B
8239	STOML3
8245	RDH12
8274	MYOZ1
8276	SLC26A3
8297	HBZ
8313	PKLR
8314	AOAH
8316	PPP3R1
8320	SGCA
8352	USHBP1
8357	ERP27
8359	CCDC33
8362	NKX2-5
8365	MYO15B
8380	SPINK1
8398	GPD1
8400	ZNF417
8402	SERPINI2
8407	PPP3CA
8409	PDGFRB
8416	DCX
8420	ALAS2
8447	TMEM242
8459	ASPA
8487	RCBTB2
8500	PROC
8514	CYP4F12
8515	DPYS
8521	MPPED2
8524	ZG16
8533	SMCO4
8652	AKAP7
8686	DMD
8717	EP400
8732	KHDC4
8808	ABHD11
8843	TASOR2
8876	CAPN3
8918	CHD2
8965	COL2A1
8999	TTR
9012	KLHL20
9020	PDE4D
9117	UNKL
9157	SSC4D
9194	LDLRAP1
9195	SERP2
9230	TBC1D21
9237	TMCO5A
9241	FLACC1
9252	TSGA13
9253	GUCA1A
9267	KASH5
9297	STX11
9305	HAPLN2
9318	PDGFB
9321	DNAAF6
9324	FMO3
9333	SLC19A3
9336	PIP4K2B
9342	BEND7
9352	MITF
9357	DLAT
9378	CCDC57
9383	TRIM69
9406	ZFHX3
9411	PHETA1
9414	ADAMTSL4
9430	CCDC158
9453	ZNF34
9456	RASAL3
9457	SMAP1
9484	SLC7A6
9485	TNNC1
9496	IL10RA
9501	LSMEM2
9573	BTBD1
9580	GPR161
9625	MAGED1
9634	CLDN19
9635	DVL3
9637	TRAF2
9640	CDC20B
9650	OSGEP
9660	TMEM65
9711	CAMTA2
9722	KIR2DL3
9726	DOLK
9746	MTUS2
9802	ACVR1
9818	SFTPB
9846	BOLL
9849	GABRD
9866	ZMYND10
9895	MIF4GD
9899	VSTM2L
9904	GPX7
9905	PNKP
9911	PI16
9926	PRPH
9939	NR5A1
9950	RPRD1B
9955	FCGR1A
9958	OTX2
9962	MINPP1
9970	PHYKPL
9976	FGF11
9980	POU2AF1
10003	TLK1
10009	CYBB
10011	TULP3
10016	IKZF3
10051	MAPK9
10056	FAM86B1
10057	HOXA1
10061	KHDRBS3
10064	KCNIP4
10106	CNOT4
10122	EXOC8
10125	SEC24D
10132	LEFTY2
10153	LSS
10159	ZNF655
10165	CRYBB1
10177	FKBP6
10195	TMEM86A
10204	RCAN3
10210	ADAT2
10217	SNPH
10225	SLC35A2
10252	FMR1
10255	SCARF1
10280	HDAC4
10300	CSRNP1
10320	PNMA1
10343	CXCL16
10352	BAG4
10441	RAB28
10460	GOLGA6L9
10471	TLE3
10486	VSTM4
10493	CTBP2
10496	GPRASP3
10501	TACC1
10508	LRRC4C
10512	DARS2
10522	SLAIN1
10556	ZNF398
10585	TBC1D1
10613	SESTD1
10617	LRATD2
10632	PTPN12
10640	ZNF329
10650	PELI1
10658	STX2
10661	JAKMIP1
10677	KPNA5
10696	RETREG3
10698	SPART
10699	ZNF19
10705	YES1
10726	KDM1A
10732	BBS5
10735	FXN
10738	SEC63
10746	SLC15A2
10747	SLC9A6
10751	HOGA1
10794	RNF111
10798	SKIL
10812	EPM2AIP1
10818	EOGT
10820	ESRRG
10821	MORN3
10823	PARD6B
10844	VDR
10849	ANKRD46
10851	RARB
10855	ARID3A
10876	POGZ
10882	ZNF549
10884	HLCS
10885	SOX5
10904	NINJ2
10906	RAB3IP
10937	TTC23L
10950	ZCCHC12
10996	ABT1
11013	PRDM5
11032	FTH1
11060	MORN4
11089	AQP2
11091	FAM20B
11100	SIAH1
11101	ACVRL1
11110	FAM90A1
11130	SLC35E3
11132	EPN1
11163	MIPOL1
11167	LURAP1L
11175	KCTD10
11190	MICALL2
11204	ZSCAN12
11229	KIFC3
11238	GALNT2
11256	RABEP1
11275	GLUD1
11288	CREBRF
11297	TP63
11304	CDCA7L
11305	CUL3
11317	SRSF11
11329	KCNA2
11340	NR2E3
11356	CCDC187
11373	GIMAP1
11374	RP2
11381	CD53
11386	PCYT1A
11403	DNMT3A
11407	ETV6
11411	RBM6
11412	VPS4A
11423	JRK
11435	MSRB3
11443	CCBE1
11451	DNAAF11
11452	WASHC1
11461	STX12
11503	STING1
11508	PEX26
11539	FAM228A
11556	BCAM
11563	ACTN2
11567	TAX1BP1
11570	TRAF3IP1
11572	DVL1
11579	HOXC4
11582	STAU1
11596	INO80E
11603	MEIS2
11611	RAD21
11621	MTIF3
11629	BMPR1B
11648	TCF12
11670	SLC14A1
11671	FAN1
11685	F10
11688	BAG5
11699	CEP170B
11723	BYSL
11745	YPEL3
11746	NUP62
11786	BMPR2
11788	INO80B
11791	RSPH3
11798	ZBTB1
11800	RAC1
11805	SMAD3
11816	TMPRSS2
11817	MFAP1
11830	KPNA2
11832	BCL10
11837	NACC1
11843	THBD
11847	IGSF8
11853	PNPT1
11866	ZAP70
11872	TPM1
11895	CLCNKA
11907	MID1
11913	ZNF280A
11922	MYOG
11924	HOXC8
11929	CRTC2
11933	ERCC1
11938	HOXC9
11943	CDA
11965	MORF4L2
11971	SFRP4
11973	AAGAB
11984	CCNC
12007	RPL22
12016	MMP14
12023	SYT1
12025	PRF1
12036	STOX1
12040	UPK1B
12043	ORC6
12052	WASHC1
12100	RHOJ
12118	COQ3
12123	C22orf39
12129	TMUB2
12130	NCALD
12132	HCFC1
12141	GOLM2
12160	PRR19
12165	TMEM71
12188	ARHGAP45
12228	ANKS6
12230	PPP1R18
12260	STX1A
12265	SYP
12279	CSDC2
12295	TMEM205
12303	GORAB
12333	ADARB1
12339	DDX6
12343	CDC73
12368	TMEM60
12385	PMF1
12387	NAB2
12430	ZFPL1
12435	ABI1
12437	JADE2
12438	TRAF1
12452	KCTD9
