orf_id	ensembl_gene_id	ensembl_gene_id_version	ensembl_protein_id	hgnc_symbol	hgnc_id	uniprot_ac
8365	ENSG00000266714	11	ENSP00000487752	MYO15B	HGNC:14083	Q96JP2
8533	ENSG00000166002	7	ENSP00000298966	SMCO4	HGNC:24810	Q9NRQ5
8876	ENSG00000092529	26	ENSP00000380384	CAPN3	HGNC:1480	P20807
9195	ENSG00000151778	11	ENSP00000368477	SERP2	HGNC:20607	Q8N6R1
9406	ENSG00000140836	17	ENSP00000438926	ZFHX3	HGNC:777	Q15911
9411	ENSG00000198324	14	ENSP00000507123	PHETA1	HGNC:26509	Q8N4B1
9640	ENSG00000164287	13	ENSP00000423919	CDC20B	HGNC:24222	Q86Y33
9660	ENSG00000164983	9	ENSP00000297632	TMEM65	HGNC:25203	Q6PI78
9895	ENSG00000125457	15	ENSP00000245551	MIF4GD	HGNC:24030	A9UHW6
9976	ENSG00000161958	11	ENSP00000293829	FGF11	HGNC:3667	Q92914
10195	ENSG00000151117	9	ENSP00000280734	TMEM86A	HGNC:26890	Q8N2M4
10496	ENSG00000198908	12	ENSP00000354675	GPRASP3	HGNC:29353	Q6PI77
10794	ENSG00000157450	16	ENSP00000288199	RNF111	HGNC:17384	Q6ZNA4
10812	ENSG00000178567	8	ENSP00000406027	EPM2AIP1	HGNC:19735	Q7L775
10849	ENSG00000186106	11	ENSP00000335287	ANKRD46	HGNC:27229	Q86W74
10904	ENSG00000171840	13	ENSP00000307552	NINJ2	HGNC:7825	Q9NZG7
11091	ENSG00000116199	12	ENSP00000263733	FAM20B	HGNC:23017	O75063
11373	ENSG00000213203	3	ENSP00000302833	GIMAP1	HGNC:23237	Q8WWP7
11461	ENSG00000117758	14	ENSP00000363054	STX12	HGNC:11430	Q86Y82
11688	ENSG00000166170	12	ENSP00000299204	BAG5	HGNC:941	Q9UL15
11723	ENSG00000112578	10	ENSP00000230340	BYSL	HGNC:1157	Q13895
11788	ENSG00000115274	15	ENSP00000233331	INO80B	HGNC:13324	Q9C086
11843	ENSG00000178726	7	ENSP00000366307	THBD	HGNC:11784	P07204
11965	ENSG00000123562	18	ENSP00000391969	MORF4L2	HGNC:16849	Q15014
12007	ENSG00000116251	11	ENSP00000346088	RPL22	HGNC:10315	P35268
12100	ENSG00000126785	13	ENSP00000316729	RHOJ	HGNC:688	Q9H4E5
12129	ENSG00000168591	16	ENSP00000350672	TMUB2	HGNC:28459	Q71RG4
12368	ENSG00000135211	6	ENSP00000257663	TMEM60	HGNC:21754	Q9H2L4
12430	ENSG00000162300	13	ENSP00000294258	ZFPL1	HGNC:12868	O95159
12844	ENSG00000155329	12	ENSP00000423276	ZCCHC10	HGNC:25954	Q8TBK6
13314	ENSG00000086506	3	ENSP00000199708	HBQ1	HGNC:4833	P09105
13913	ENSG00000168939	13	ENSP00000511806	SPRY3	HGNC:11271	O43610
14023	ENSG00000166407	14	ENSP00000338207	LMO1	HGNC:6641	P25800
14048	ENSG00000088782	5	ENSP00000371825	DEFB127	HGNC:16206	Q9H1M4
14158	ENSG00000111237	19	ENSP00000353786	VPS29	HGNC:14340	Q9UBQ0
14208	ENSG00000076513	17	ENSP00000474172	ANKRD13A	HGNC:21268	Q8IZ07
14447	ENSG00000144228	9	ENSP00000280098	SPOPL	HGNC:27934	Q6IQ16
52655	ENSG00000102007	11	ENSP00000365505	PLP2	HGNC:9087	Q04941
52977	ENSG00000177096	9	ENSP00000312753	PHETA2	HGNC:27161	Q6ICB4
53090	ENSG00000120742	11	ENSP00000239944	SERP1	HGNC:10759	Q9Y6X1
53344	ENSG00000155158	20	ENSP00000422496	TTC39B	HGNC:23704	Q5VTQ0
53675	ENSG00000179083	7	ENSP00000507109	FAM133A	HGNC:26748	Q8N9E0
53941	ENSG00000172977	13	ENSP00000366245	KAT5	HGNC:5275	Q92993
54115	ENSG00000112365	6	ENSP00000230122	ZBTB24	HGNC:21143	O43167
54142	ENSG00000102837	7	ENSP00000219022	OLFM4	HGNC:17190	Q6UX06
54406	ENSG00000181585	7	ENSP00000494576	TMIE	HGNC:30800	Q8NEW7
54416	ENSG00000171517	6	ENSP00000359643	LPAR3	HGNC:14298	Q9UBY5
54492	ENSG00000170128	5	ENSP00000301917	GPR25	HGNC:4480	O00155
54642	ENSG00000126016	17	ENSP00000305557	AMOT	HGNC:17810	Q4VCS5
55039	ENSG00000146054	18	ENSP00000274773	TRIM7	HGNC:16278	Q9C029
55699	ENSG00000131051	24	ENSP00000253363	RBM39	HGNC:15923	Q14498
55999	ENSG00000147223	6	ENSP00000276173	RIPPLY1	HGNC:25117	Q0D2K3
56106	ENSG00000244537	3	ENSP00000366955	KRTAP4-2	HGNC:18900	Q9BYR5
56115	ENSG00000101367	9	ENSP00000364721	MAPRE1	HGNC:6890	Q15691
56166	ENSG00000097046	13	ENSP00000234626	CDC7	HGNC:1745	O00311
56441	ENSG00000111052	8	ENSP00000447488	LIN7A	HGNC:17787	O14910
56492	ENSG00000111077	18	ENSP00000369232	TNS2	HGNC:19737	Q63HR2
56528	ENSG00000170545	17	ENSP00000475068	SMAGP	HGNC:26918	Q0VAQ4
56807	ENSG00000153006	16	ENSP00000427401	SREK1IP1	HGNC:26716	Q8N9Q2
56859	ENSG00000130518	18	ENSP00000470780	IQCN	HGNC:29350	Q9H0B3
70095	ENSG00000177504	10	ENSP00000321309	VCX2	HGNC:18158	Q9H322
70191	ENSG00000197769	6	ENSP00000349785	MAP1LC3C	HGNC:13353	Q9BXW4
70353	ENSG00000110171	21	ENSP00000340797	TRIM3	HGNC:10064	O75382
70423	ENSG00000186115	13	ENSP00000221700	CYP4F2	HGNC:2645	P78329
70774	ENSG00000235169	11	ENSP00000496314	SMIM1	HGNC:44204	B2RUZ4
70824	ENSG00000166068	13	ENSP00000299084	SPRED1	HGNC:20249	Q7Z699
70919	ENSG00000133678	14	ENSP00000361355	TMEM254	HGNC:25804	Q8TBM7
71060	ENSG00000169981	11	ENSP00000379368	ZNF35	HGNC:13099	P13682
71072	ENSG00000205808	7	ENSP00000371307	PLPP6	HGNC:23682	Q8IY26
71346	ENSG00000146281	6	ENSP00000275072	PM20D2	HGNC:21408	Q8IYS1
71841	ENSG00000172421	10	ENSP00000302649	EFCAB3	HGNC:26379	Q8N7B9
71881	ENSG00000198937	9	ENSP00000362507	CCDC167	HGNC:21239	Q9P0B6
71899	ENSG00000198133	9	ENSP00000450859	TMEM229B	HGNC:20130	Q8NBD8
100014361	ENSG00000178814	17	ENSP00000480476	OPLAH	HGNC:8149	O14841
100015109	ENSG00000268988	2	ENSP00000470584	SPANXN2	HGNC:33175	Q5MJ10
100015481	ENSG00000159495	8	ENSP00000389466	TGM7	HGNC:30790	Q96PF1
100063986	ENSG00000170484	10	ENSP00000307240	KRT74	HGNC:28929	Q7RTS7
100070263	ENSG00000018189	13	ENSP00000226328	RUFY3	HGNC:30285	Q7L099
1	ENSG00000143933	20	ENSP00000272298	CALM2	HGNC:1445	P0DP24
9	ENSG00000065029	15	ENSP00000363064	ZNF76	HGNC:13149	P36508
25	ENSG00000109062	12	ENSP00000262613	SLC9A3R1	HGNC:11075	O14745
36	ENSG00000153048	11	ENSP00000311847	CARHSP1	HGNC:17150	Q9Y2V2
65	ENSG00000111057	11	ENSP00000373487	KRT18	HGNC:6430	P05783
66	ENSG00000205571	14	ENSP00000486152	SMN2	HGNC:11118	Q16637
69	ENSG00000026025	16	ENSP00000446007	VIM	HGNC:12692	P08670
93	ENSG00000256235	3	ENSP00000436897	SMIM3	HGNC:30248	Q9BZL3
100	ENSG00000166946	14	ENSP00000300213	CCNDBP1	HGNC:1587	O95273
115	ENSG00000171680	23	ENSP00000366954	PLEKHG5	HGNC:29105	O94827
117	ENSG00000171302	17	ENSP00000376241	CANT1	HGNC:19721	Q8WVQ1
124	ENSG00000172315	6	ENSP00000361186	TP53RK	HGNC:16197	Q96S44
135	ENSG00000196072	12	ENSP00000410865	BLOC1S2	HGNC:20984	Q6QNY1
137	ENSG00000099940	12	ENSP00000215730	SNAP29	HGNC:11133	O95721
138	ENSG00000172936	17	ENSP00000498360	MYD88	HGNC:7562	Q99836
143	ENSG00000106462	12	ENSP00000320147	EZH2	HGNC:3527	Q15910
145	ENSG00000150787	8	ENSP00000280362	PTS	HGNC:9689	Q03393
147	ENSG00000073008	15	ENSP00000402060	PVR	HGNC:9705	P15151
150	ENSG00000119318	13	ENSP00000350708	RAD23B	HGNC:9813	P54727
152	ENSG00000204713	11	ENSP00000366404	TRIM27	HGNC:9975	P14373
155	ENSG00000136270	14	ENSP00000258770	TBRG4	HGNC:17443	Q969Z0
156	ENSG00000197223	12	ENSP00000386468	C1D	HGNC:29911	Q13901
172	ENSG00000090061	17	ENSP00000452307	CCNK	HGNC:1596	O75909
190	ENSG00000133884	11	ENSP00000436901	DPF2	HGNC:9964	Q92785
193	ENSG00000140382	15	ENSP00000336856	HMG20A	HGNC:5001	Q9NP66
199	ENSG00000102362	16	ENSP00000362080	SYTL4	HGNC:15588	Q96C24
201	ENSG00000214717	12	ENSP00000498725	ZBED1	HGNC:447	O96006
208	ENSG00000113369	9	ENSP00000265138	ARRDC3	HGNC:29263	Q96B67
209	ENSG00000104147	9	ENSP00000220514	OIP5	HGNC:20300	O43482
231	ENSG00000132341	12	ENSP00000446215	RAN	HGNC:9846	P62826
232	ENSG00000132475	10	ENSP00000254810	H3-3B	HGNC:4765	P84243
244	ENSG00000079999	14	ENSP00000171111	KEAP1	HGNC:23177	Q14145
252	ENSG00000175213	3	ENSP00000309606	ZNF408	HGNC:20041	Q9H9D4
253	ENSG00000149925	22	ENSP00000455800	ALDOA	HGNC:414	P04075
268	ENSG00000116761	12	ENSP00000359976	CTH	HGNC:2501	P32929
275	ENSG00000146826	17	ENSP00000324741	TRAPPC14	HGNC:25604	Q8WVR3
277	ENSG00000151445	16	ENSP00000452191	VIPAS39	HGNC:20347	Q9H9C1
279	ENSG00000136436	15	ENSP00000258947	CALCOCO2	HGNC:29912	Q13137
281	ENSG00000110921	14	ENSP00000228510	MVK	HGNC:7530	Q03426
282	ENSG00000015479	20	ENSP00000378284	MATR3	HGNC:6912	P43243
300	ENSG00000213930	12	ENSP00000368119	GALT	HGNC:4135	P07902
326	ENSG00000198373	13	ENSP00000352069	WWP2	HGNC:16804	O00308
329	ENSG00000184056	15	ENSP00000327650	VPS33B	HGNC:12712	Q9H267
333	ENSG00000121931	16	ENSP00000358778	LRIF1	HGNC:30299	Q5T3J3
343	ENSG00000106305	10	ENSP00000223029	AIMP2	HGNC:20609	Q13155
349	ENSG00000139291	14	ENSP00000266673	TMEM19	HGNC:25605	Q96HH6
359	ENSG00000160200	18	ENSP00000381231	CBS	HGNC:1550	P35520
361	ENSG00000155324	10	ENSP00000285689	GRAMD2B	HGNC:24911	Q96HH9
369	ENSG00000149131	17	ENSP00000278407	SERPING1	HGNC:1228	P05155
371	ENSG00000172757	13	ENSP00000309629	CFL1	HGNC:1874	P23528
386	ENSG00000147465	12	ENSP00000276449	STAR	HGNC:11359	P49675
392	ENSG00000198561	16	ENSP00000433158	CTNND1	HGNC:2515	O60716
399	ENSG00000070831	18	ENSP00000499457	CDC42	HGNC:1736	P60953
428	ENSG00000167526	14	ENSP00000307889	RPL13	HGNC:10303	P26373
439	ENSG00000212864	4	ENSP00000376572	RNF208	HGNC:25420	Q9H0X6
442	ENSG00000129084	18	ENSP00000379676	PSMA1	HGNC:9530	P25786
445	ENSG00000101882	10	ENSP00000360464	NKAP	HGNC:29873	Q8N5F7
455	ENSG00000116584	22	ENSP00000315325	ARHGEF2	HGNC:682	Q92974
467	ENSG00000103154	10	ENSP00000457354	NECAB2	HGNC:23746	Q7Z6G3
482	ENSG00000141527	19	ENSP00000461806	CARD14	HGNC:16446	Q9BXL6
487	ENSG00000203896	10	ENSP00000309521	LIME1	HGNC:26016	Q9H400
501	ENSG00000265241	8	ENSP00000463058	RBM8A	HGNC:9905	Q9Y5S9
504	ENSG00000165474	8	ENSP00000372299	GJB2	HGNC:4284	P29033
510	ENSG00000169372	13	ENSP00000327647	CRADD	HGNC:2340	P78560
513	ENSG00000103089	9	ENSP00000219368	FA2H	HGNC:21197	Q7L5A8
549	ENSG00000106541	12	ENSP00000391490	AGR2	HGNC:328	O95994
563	ENSG00000116991	12	ENSP00000309102	SIPA1L2	HGNC:23800	Q9P2F8
573	ENSG00000095066	12	ENSP00000264827	HOOK2	HGNC:19885	Q96ED9
575	ENSG00000038002	9	ENSP00000264595	AGA	HGNC:318	P20933
581	ENSG00000147676	14	ENSP00000479708	MAL2	HGNC:13634	Q969L2
604	ENSG00000125968	9	ENSP00000365280	ID1	HGNC:5360	P41134
613	ENSG00000179950	15	ENSP00000402953	PUF60	HGNC:17042	Q9UHX1
617	ENSG00000182199	11	ENSP00000333667	SHMT2	HGNC:10852	P34897
622	ENSG00000108561	8	ENSP00000225698	C1QBP	HGNC:1243	Q07021
623	ENSG00000168476	12	ENSP00000303482	REEP4	HGNC:26176	Q9H6H4
636	ENSG00000225950	9	ENSP00000469455	NTF4	HGNC:8024	P34130
660	ENSG00000092203	15	ENSP00000393080	TOX4	HGNC:20161	O94842
675	ENSG00000091844	8	ENSP00000206262	RGS17	HGNC:14088	Q9UGC6
676	ENSG00000075420	13	ENSP00000408496	FNDC3B	HGNC:24670	Q53EP0
678	ENSG00000164283	13	ENSP00000370812	ESM1	HGNC:3466	Q9NQ30
699	ENSG00000135069	14	ENSP00000365773	PSAT1	HGNC:19129	Q9Y617
727	ENSG00000132768	14	ENSP00000255108	DPH2	HGNC:3004	Q9BQC3
730	ENSG00000115756	13	ENSP00000310749	HPCAL1	HGNC:5145	P37235
732	ENSG00000132155	14	ENSP00000251849	RAF1	HGNC:9829	P04049
740	ENSG00000120149	9	ENSP00000239243	MSX2	HGNC:7392	P35548
747	ENSG00000153574	9	ENSP00000283646	RPIA	HGNC:10297	P49247
753	ENSG00000121864	10	ENSP00000417740	ZNF639	HGNC:30950	Q9UID6
778	ENSG00000025800	14	ENSP00000362728	KPNA6	HGNC:6399	O60684
784	ENSG00000160062	15	ENSP00000362609	ZBTB8A	HGNC:24172	Q96BR9
789	ENSG00000139926	16	ENSP00000348550	FRMD6	HGNC:19839	Q96NE9
798	ENSG00000034693	15	ENSP00000356563	PEX3	HGNC:8858	P56589
801	ENSG00000170027	7	ENSP00000306330	YWHAG	HGNC:12852	P61981
813	ENSG00000183258	12	ENSP00000330349	DDX41	HGNC:18674	Q9UJV9
817	ENSG00000114200	10	ENSP00000264381	BCHE	HGNC:983	P06276
820	ENSG00000062725	10	ENSP00000083182	APPBP2	HGNC:622	Q92624
824	ENSG00000106511	6	ENSP00000262041	MEOX2	HGNC:7014	P50222
835	ENSG00000114054	14	ENSP00000251654	PCCB	HGNC:8654	P05166
842	ENSG00000102010	15	ENSP00000308774	BMX	HGNC:1079	P51813
843	ENSG00000118600	13	ENSP00000261234	RXYLT1	HGNC:13530	Q9Y2B1
