experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	db_aa_score	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TCAP	6345	1	C05	IKZF3	10016	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TCAP	6345	1	D05	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	VHL	13320	1	E05	HSF2BP	100070143	3AT	1	0	4	NULL	12636
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	VHL	13320	1	F05	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CRYAB	5585	1	G05	FP236240.1	13813	3AT	1	0	4	NULL	10144
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CRYAB	5585	1	H05	emptyAD	0	3AT	1	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	FGF12	1161	1	A06	STAC3	4447	3AT	1	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	FGF12	1161	1	B06	RNF151	56094	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	FGF12	1161	1	C06	DACH1	6254	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	FGF12	1161	1	D06	RBAK	70682	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	FGF12	1161	1	E06	THAP1	1668	3AT	1	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	FGF12	1161	1	F06	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PTCH1	14122	1	G06	APPBP2	820	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PTCH1	14122	1	H06	emptyAD	0	3AT	1	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	IFT27	7972	1	A07	HSPB11	5491	3AT	1	0	4	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	IFT27	7972	1	B07	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	NRAS	5462	1	C07	RIN1	7142	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	NRAS	5462	1	D07	emptyAD	0	3AT	1	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CDC42	399	1	E07	CDC42EP1	6819	3AT	1	0	4	NULL	10577
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CDC42	399	1	F07	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	RHOA	5810	1	G07	ARHGEF2	455	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	RHOA	5810	1	H07	RIPOR2	1818	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	RHOA	5810	1	A08	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	SNAP25	2998	1	B08	STX11	9297	3AT	1	0	2	NULL	11010
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	SNAP25	2998	1	C08	emptyAD	0	3AT	1	0	0	NULL	0
