experiment	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	THAP1	1668	1	E06	ZNF408	252	3AT	1	3	25942	23015
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	THAP1	1668	1	F06	WDYHV1	4786	3AT	1	0	41	0
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	THAP1	1668	1	G06	ZNF385C	15010	3AT	1	0	100	66
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	THAP1	1668	1	H06	THAP1	1668	3AT	1	4	22037	19396
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	THAP1	1668	1	A07	empty-AD	0	3AT	1	0	226	179
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NEUROG3	54175	1	B07	TCF4	56644	3AT	1	4	15751	13235
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NEUROG3	54175	1	C07	TCF12	11648	3AT	1	4	30630	25715
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NEUROG3	54175	1	D07	empty-AD	0	3AT	1	0	36	24
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CSNK2B	71965	1	E07	TRIM54	55664	3AT	1	0	21718	19372
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CSNK2B	71965	1	F07	empty-AD	0	3AT	1	0	66	47
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	HPRT1	7982	1	G07	HPRT1	7982	3AT	1	4	25936	23001
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	HPRT1	7982	1	H07	PRTFDC1	2860	3AT	1	4	18182	15921
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	HPRT1	7982	1	A08	empty-AD	0	3AT	1	0	222	186
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	LHFPL5	2012	1	B08	CCDC155	9267	3AT	1	3	15353	13505
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	LHFPL5	2012	1	C08	empty-AD	0	3AT	1	0	143	120
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	PDE4D	9020	1	D08	COIL	6448	3AT	1	0	75	57
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	PDE4D	9020	1	E08	empty-AD	0	3AT	1	0	120	86
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NAA10	3180	1	F08	KIFAP3	1586	3AT	1	4	13778	11562
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NAA10	3180	1	G08	RAB3IP	10906	3AT	1	4	14452	12259
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NAA10	3180	1	H08	CREBRF	11288	3AT	1	4	10008	8495
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NAA10	3180	1	A09	PDE4DIP	14398	3AT	1	4	15393	12971
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NAA10	3180	1	B09	MKRN1	100011492	3AT	1	4	24554	20080
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NAA10	3180	1	C09	PLSCR3	6963	3AT	1	3	16009	13626
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NAA10	3180	1	D09	ZBTB14	53025	3AT	1	4	10742	9055
